개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),문화체육업종명,공사립구분명,보험가입여부코드,지도자수,건축물동수,건축물연면적,회원모집총인원,세부업종명,법인명,,,,,,정보
3040000,CDFH3301081993000016,19931117,,03,폐업,03,폐업,20040723,,,,462-9636,,143843,서울특별시 광진구 자양동 52-65번지 (2층) ,서울특별시 광진구 뚝섬로 476  (자양동,(2층)),,대한당구장,2004-07-23 15:26:49,I,2018-08-31 23:59:59.0,,205510.476832288    ,448246.598294724    ,당구장업,사립,0,,,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081993000017,19931210,,03,폐업,03,폐업,19980825,,,,,,143888,서울특별시 광진구 중곡동 89-4번지 ,서울특별시 광진구 영화사로 32  (중곡동),,양산당구장,2003-05-13 11:23:25,I,2018-08-31 23:59:59.0,,207915.166517857    ,450499.303090901    ,당구장업,사립,,0,0,0,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081994000003,1994-03-16,,04,취소/말소/만료/정지/중지,35,직권말소,2023-03-29,,,,2201-8614,,143-819,서울특별시 광진구 구의동 66-62,서울특별시 광진구 광나루로 529 (구의동),,벨기에당구장,2023-03-29 11:20:42,U,2022-12-02 21:01:00.0,,207748.736496653,449212.187153261,,,,,,,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081994000004,19940407,,03,폐업,03,폐업,19991016,,,,453-7908,,143885,서울특별시 광진구 중곡동 38-32번지 ,서울특별시 광진구 긴고랑로 73  (중곡동),,에이당구장,2003-05-13 11:23:25,I,2018-08-31 23:59:59.0,,207366.853123752    ,451031.889655945    ,당구장업,사립,,0,0,0,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081994000005,19940416,,01,영업/정상,13,영업중,,,,,031-245-9313,,143874,서울특별시 광진구 자양동 680-16번지 지층 ,서울특별시 광진구 자양로16길 22  (자양동,지층),,지하철당구장(4대),2005-11-03 17:07:55,I,2018-08-31 23:59:59.0,,207447.535717126    ,448235.261520899    ,당구장업,사립,0,,,514.36,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081994000006,19940706,,03,폐업,03,폐업,20000331,,,,455-9795,,143817,서울특별시 광진구 구의동 53-10번지 ,서울특별시 광진구 천호대로 659  (구의동),,마스타당구장,2003-05-13 11:23:25,I,2018-08-31 23:59:59.0,,207881.32586747     ,450008.602481166    ,당구장업,사립,,0,0,0,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081994000007,19940708,,03,폐업,03,폐업,19990408,,,,,,143805,서울특별시 광진구 광장동 244-27번지 ,서울특별시 광진구 천호대로143길 8-8  (광장동),,대교,2003-05-13 11:23:25,I,2018-08-31 23:59:59.0,,209067.101746368    ,449291.594110833    ,당구장업,사립,,0,0,0,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081994000008,19940712,,03,폐업,03,폐업,20001124,,,,452-4309,,143867,서울특별시 광진구 자양동 634-2번지 ,서울특별시 광진구 뚝섬로55길 45  (자양동),,엘리트당구장,2003-05-13 11:23:25,I,2018-08-31 23:59:59.0,,207102.624866233    ,447875.48446439     ,당구장업,사립,,0,0,0,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081994000009,19940819,,01,영업/정상,13,영업중,,,,,444-0532,,143130,서울특별시 광진구 화양동 465-22번지 ,서울특별시 광진구 광나루로 446-1  (화양동),,프로당구장,2009-04-21 13:55:14,I,2018-08-31 23:59:59.0,,206897.722090716    ,449232.560044318    ,당구장업,사립,,,0,0,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081994000010,19941007,,03,폐업,03,폐업,19981012,,,,,,143915,서울특별시 광진구 화양동 111-130번지 ,서울특별시 광진구 능동로 179-1  (화양동),,우리당구장,2003-05-13 11:23:25,I,2018-08-31 23:59:59.0,,206419.903422956    ,449395.912226317    ,당구장업,사립,,0,0,0,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081994000011,19941018,,03,폐업,03,폐업,19971223,,,,463-2369,,143915,서울특별시 광진구 화양동 111-102번지 ,서울특별시 광진구 광나루로 382  (화양동),,세종당구장,2003-05-13 11:23:25,I,2018-08-31 23:59:59.0,,206299.113452403    ,449469.927209058    ,당구장업,사립,,0,0,0,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081994000013,19941031,,03,폐업,03,폐업,20200102,,,,205-0968,,,서울특별시 광진구 화양동 46-64번지 지하1층 ,서울특별시 광진구 아차산로25길 14, 지하1층 (화양동),05019,나이스당구장,2020-01-02 17:04:02,U,2020-01-04 02:40:00.0,,205839.118094084    ,448862.780879982    ,당구장업,사립,,,0,0,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081994000014,19941031,,01,영업/정상,13,영업중,,,,,497-6641,,143916,서울특별시 광진구 화양동 18-3번지 ,서울특별시 광진구 군자로 49  (화양동),,킹당구장,2003-05-13 11:23:25,I,2018-08-31 23:59:59.0,,206134.078109767    ,449495.06302528     ,당구장업,사립,,0,0,0,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081994000015,1994-11-22,,04,취소/말소/만료/정지/중지,35,직권말소,2023-03-31,,,,456-4355,,143-866,서울특별시 광진구 자양동 623-18,서울특별시 광진구 자양로13길 56 (자양동),,리오당구장,2023-03-31 15:17:28,U,2022-12-04 00:02:00.0,,207121.326018306,447991.525152502,,,,,,,,,,,,,,,서울시광진구당구장업인허가정보.csv
