관리번호,위도,경도,정보,geometry,index_right
용마산로5-5,37.5648924,127.0868527,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0868527 37.5648924),
용마산로5-6,37.5652951,127.0868016,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0868016 37.5652951),
용마산로5-7,37.5656183,127.0867427,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0867427 37.5656183),
용마산로5-8,37.5659992,127.0866837,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0866837 37.5659992),
용마산로5-9,37.5664316,127.0866134,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0866134 37.5664316),
용마산로6-1,37.5680711,127.0860442,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0860442 37.5680711),
용마산로6-10,37.5647595,127.0865971,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0865971 37.5647595),
용마산로6-2,37.5676849,127.0861139,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0861139 37.5676849),
용마산로6-3,37.5673246,127.0861696,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0861696 37.5673246),
용마산로6-4,37.5670006,127.0862355,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0862355 37.5670006),
용마산로6-5,37.5665846,127.0863033,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0863033 37.5665846),
용마산로6-6,37.566217,127.0863604,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0863604 37.566217),
용마산로6-7,37.5658405,127.0864241,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0864241 37.5658405),
용마산로6-8,37.5654464,127.0864914,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0864914 37.5654464),
용마산로6-9,37.5651108,127.0865385,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0865385 37.5651108),
용마산로7-1,37.5684243,127.0862922,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0862922 37.5684243),
용마산로7-10,37.5705829,127.0863094,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0863094 37.5705829),
용마산로7-11,37.5708696,127.086317,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.086317 37.5708696),
용마산로7-2,37.5686144,127.0862883,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0862883 37.5686144),
용마산로7-3,37.5688498,127.0862795,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0862795 37.5688498),
용마산로7-4,37.5690817,127.0862798,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0862798 37.5690817),
용마산로7-5,37.5693547,127.0862832,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0862832 37.5693547),
용마산로7-6,37.5696555,127.0862792,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0862792 37.5696555),
용마산로7-7,37.5699005,127.0862828,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0862828 37.5699005),
